Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl,20 to 29 years,Percent,12
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl,30 to 39 years,Percent,36
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl,40 to 49 years,Percent,20
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl,50 to 59 years,Percent,20
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl,60 years or more,Percent,12
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl analogues,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl analogues,20 to 29 years,Percent,33
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl analogues,30 to 39 years,Percent,33
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl analogues,40 to 49 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl analogues,50 to 59 years,Percent,33
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Fentanyl analogues,60 years or more,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Non-fentanyl opioids,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Non-fentanyl opioids,20 to 29 years,Percent,14
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Non-fentanyl opioids,30 to 39 years,Percent,27
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Non-fentanyl opioids,40 to 49 years,Percent,22
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Non-fentanyl opioids,50 to 59 years,Percent,24
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,Non-fentanyl opioids,60 years or more,Percent,13
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl,20 to 29 years,Percent,33
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl,30 to 39 years,Percent,33
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl,40 to 49 years,Percent,33
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl,50 to 59 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl,60 years or more,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl analogues,0 to 19 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl analogues,20 to 29 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl analogues,30 to 39 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl analogues,40 to 49 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl analogues,50 to 59 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Fentanyl analogues,60 years or more,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Non-fentanyl opioids,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Non-fentanyl opioids,20 to 29 years,Percent,11
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Non-fentanyl opioids,30 to 39 years,Percent,19
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Non-fentanyl opioids,40 to 49 years,Percent,26
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Non-fentanyl opioids,50 to 59 years,Percent,30
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,Non-fentanyl opioids,60 years or more,Percent,15
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl,20 to 29 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl,30 to 39 years,Percent,60
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl,40 to 49 years,Percent,40
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl,50 to 59 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl,60 years or more,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl analogues,0 to 19 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl analogues,20 to 29 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl analogues,30 to 39 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl analogues,40 to 49 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl analogues,50 to 59 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Fentanyl analogues,60 years or more,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Non-fentanyl opioids,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Non-fentanyl opioids,20 to 29 years,Percent,8
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Non-fentanyl opioids,30 to 39 years,Percent,25
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Non-fentanyl opioids,40 to 49 years,Percent,17
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Non-fentanyl opioids,50 to 59 years,Percent,25
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,Non-fentanyl opioids,60 years or more,Percent,25
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl,50 to 59 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl,60 years or more,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl analogues,0 to 19 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl analogues,20 to 29 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl analogues,30 to 39 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl analogues,40 to 49 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl analogues,50 to 59 years,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Fentanyl analogues,60 years or more,Percent,Not available
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Non-fentanyl opioids,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Non-fentanyl opioids,20 to 29 years,Percent,9
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Non-fentanyl opioids,30 to 39 years,Percent,22
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Non-fentanyl opioids,40 to 49 years,Percent,22
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Non-fentanyl opioids,50 to 59 years,Percent,35
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,Non-fentanyl opioids,60 years or more,Percent,13
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl,20 to 29 years,Percent,30
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl,30 to 39 years,Percent,40
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl,40 to 49 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl,50 to 59 years,Percent,10
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl,60 years or more,Percent,20
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl analogues,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl analogues,20 to 29 years,Percent,33
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl analogues,30 to 39 years,Percent,33
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl analogues,40 to 49 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl analogues,50 to 59 years,Percent,33
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Fentanyl analogues,60 years or more,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Non-fentanyl opioids,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Non-fentanyl opioids,20 to 29 years,Percent,22
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Non-fentanyl opioids,30 to 39 years,Percent,16
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Non-fentanyl opioids,40 to 49 years,Percent,41
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Non-fentanyl opioids,50 to 59 years,Percent,16
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,Non-fentanyl opioids,60 years or more,Percent,5
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl,20 to 29 years,Percent,50
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl,30 to 39 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl,40 to 49 years,Percent,25
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl,50 to 59 years,Percent,25
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl,60 years or more,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl analogues,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl analogues,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl analogues,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl analogues,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl analogues,50 to 59 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Fentanyl analogues,60 years or more,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Non-fentanyl opioids,0 to 19 years,Percent,2
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Non-fentanyl opioids,20 to 29 years,Percent,14
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Non-fentanyl opioids,30 to 39 years,Percent,23
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Non-fentanyl opioids,40 to 49 years,Percent,26
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Non-fentanyl opioids,50 to 59 years,Percent,19
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,Non-fentanyl opioids,60 years or more,Percent,16
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl,0 to 19 years,Percent,13
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl,20 to 29 years,Percent,25
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl,30 to 39 years,Percent,25
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl,40 to 49 years,Percent,25
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl,50 to 59 years,Percent,13
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl,60 years or more,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl analogues,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl analogues,20 to 29 years,Percent,75
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl analogues,30 to 39 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl analogues,40 to 49 years,Percent,25
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl analogues,50 to 59 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Fentanyl analogues,60 years or more,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Non-fentanyl opioids,0 to 19 years,Percent,0
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Non-fentanyl opioids,20 to 29 years,Percent,21
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Non-fentanyl opioids,30 to 39 years,Percent,26
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Non-fentanyl opioids,40 to 49 years,Percent,21
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Non-fentanyl opioids,50 to 59 years,Percent,19
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,Non-fentanyl opioids,60 years or more,Percent,13
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl,50 to 59 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl,60 years or more,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl analogues,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl analogues,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl analogues,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl analogues,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl analogues,50 to 59 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Fentanyl analogues,60 years or more,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Non-fentanyl opioids,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Non-fentanyl opioids,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Non-fentanyl opioids,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Non-fentanyl opioids,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Non-fentanyl opioids,50 to 59 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,Non-fentanyl opioids,60 years or more,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl,50 to 59 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl,60 years or more,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl analogues,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl analogues,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl analogues,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl analogues,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl analogues,50 to 59 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Fentanyl analogues,60 years or more,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Non-fentanyl opioids,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Non-fentanyl opioids,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Non-fentanyl opioids,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Non-fentanyl opioids,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Non-fentanyl opioids,50 to 59 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,Non-fentanyl opioids,60 years or more,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl,50 to 59 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl,60 years or more,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl analogues,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl analogues,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl analogues,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl analogues,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl analogues,50 to 59 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Fentanyl analogues,60 years or more,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Non-fentanyl opioids,0 to 19 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Non-fentanyl opioids,20 to 29 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Non-fentanyl opioids,30 to 39 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Non-fentanyl opioids,40 to 49 years,Percent,Suppressed
Opioids,Deaths,Type of opioids by age,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,Non-fentanyl opioids,50 to 59 years,Percent,Suppressed
